日期,已确诊病例累计,现有疑似病例,死亡累计,治愈出院累计,day_index
2003-04-20,339,402,18,33,0
2003-04-21,482,610,25,43,1
2003-04-22,588,666,28,46,2
2003-04-23,693,782,35,55,3
2003-04-24,774,863,39,64,4
2003-04-25,877,954,42,73,5
2003-04-26,988,1093,48,76,6
2003-04-27,1114,1255,56,78,7
2003-04-28,1199,1275,59,78,8
2003-04-29,1347,1358,66,83,9
2003-04-30,1440,1408,75,90,10
2003-05-01,1553,1415,82,100,11
2003-05-02,1636,1468,91,109,12
2003-05-03,1741,1493,96,115,13
2003-05-04,1803,1537,100,118,14
2003-05-05,1897,1510,103,121,15
2003-05-06,1960,1523,107,134,16
2003-05-07,2049,1514,110,141,17
2003-05-08,2136,1486,112,152,18
2003-05-09,2177,1425,114,168,19
2003-05-10,2227,1397,116,175,20
2003-05-11,2265,1411,120,186,21
2003-05-12,2304,1378,129,208,22
2003-05-13,2347,1338,134,244,23
2003-05-14,2370,1308,139,252,24
2003-05-15,2388,1317,140,257,25
2003-05-16,2405,1265,141,273,26
2003-05-17,2420,1250,145,307,27
2003-05-18,2434,1250,147,332,28
2003-05-19,2437,1249,150,349,29
2003-05-20,2444,1225,154,395,30
2003-05-21,2444,1221,156,447,31
2003-05-22,2456,1205,158,528,32
2003-05-23,2465,1179,160,582,33
2003-05-24,2490,1134,163,667,34
2003-05-25,2499,1105,167,704,35
2003-05-26,2504,1069,168,747,36
2003-05-27,2512,1005,172,828,37
2003-05-28,2514,941,175,866,38
2003-05-29,2517,803,176,928,39
2003-05-30,2520,760,177,1006,40
2003-05-31,2521,747,181,1087,41
2003-06-01,2522,739,181,1124,42
2003-06-02,2522,734,181,1157,43
2003-06-03,2522,724,181,1189,44
2003-06-04,2522,718,181,1263,45
2003-06-05,2522,716,181,1321,46
2003-06-06,2522,713,183,1403,47
2003-06-07,2523,668,183,1446,48
2003-06-08,2522,550,184,1543,49
2003-06-09,2522,451,184,1653,50
2003-06-10,2522,351,186,1747,51
2003-06-11,2523,257,186,1821,52
2003-06-12,2523,155,187,1876,53
2003-06-13,2522,71,187,1944,54
2003-06-14,2522,4,189,1994,55
2003-06-15,2522,3,189,2015,56
2003-06-16,2521,3,190,2053,57
2003-06-17,2521,5,190,2120,58
2003-06-18,2521,4,191,2154,59
2003-06-19,2521,3,191,2171,60
2003-06-20,2521,3,191,2189,61
2003-06-21,2521,2,191,2231,62
2003-06-22,2521,2,191,2257,63
2003-06-23,2521,2,191,2277,64
